gene study_attention
CD48 3
MAT1A 5
ELP1 47
AIMP2 76
TUBGCP2 46
ANKRD36B 24
SYTL4 26
COLEC12 29
PINX1 113
FABP4 13
AREG 9
OGDHL 7
CRIP3 2
MECOM 18
ZNF526 69
ETFB 48
POLR1E 36
C9orf153 1
HEATR3 43
KRT37 42
CDO1 8
NIM1K 1
WAC 23
GALNT10 1
GLB1L3 3
ACKR3 19
IPO9 49
TOPBP1 27
HLA-DQB2 5
ATP7B 11
TNS2 141
ASPDH 2
THBD 24
NUBPL 9
LCE2C 81
CSGALNACT2 75
KRTAP19-7 78
MMUT 9
PHF19 47
PPIL4 20
PRKCG 6
TMCO5A 5
DGKZ 10
NLRC3 2
LTB 1
CLEC10A 25
NLGN1 5
HNRNPH3 72
CCNI2 3
DOK4 34
SLC25A21 4
CYP2S1 36
PPEF1 49
SLF1 7
KRTAP21-2 28
ARSA 29
ZNF436 12
AP1S3 4
FGFR4 34
GPR42 99
MRM1 70
DND1 7
KCNJ6 61
ZNF93 1
KIR2DL4 6
COMMD1 51
RAET1G 1
PLOD3 34
KRT75 137
CYP39A1 1
HECTD3 35
TUBAL3 17
PRM2 6
SLC5A5 10
DALRD3 10
BIVM 7
POLK 24
SH3D21 3
SOBP 2
CEP41 3
MDM4 38
VPS9D1 29
AGPS 11
SPNS1 11
HMX2 2
MRPL43 34
TARS3 32
HECW2 10
KRT82 24
AHSG 21
SNRNP70 168
ZNF174 18
SLC2A14 6
SNRPA 85
DRICH1 8
NEK8 37
KLF6 6
P2RY6 344
FNDC9 90
CASKIN1 5
BTBD10 12
THAP2 7
SDK2 17
PPA2 22
GATAD2A 45
DPH1 18
CPNE2 54
TMEM255A 11
ETNPPL 1
PRX 5
NCS1 34
EIF5A 35
PRR32 4
SPIRE1 13
IVNS1ABP 15
TXLNA 126
SEC62 13
AUTS2 21
FOXD4L3 16
C1orf131 12
RBBP7 120
TAS2R10 4
H2AC8 30
CKLF 3
GRHL3 7
MRPS5 55
EIF2B2 38
CYTIP 9
CRAT 8
ERP29 32
SCEL 12
IL13 3
ZFPM2 3
ERLEC1 11
SRSF4 29
PANK4 3
ENDOV 9
INPPL1 43
ZC3H7A 5
