gene study_attention
STX8 109
RPL24 61
HUNK 5
PUS7L 5
RGS2 53
HCN4 2
COL12A1 5
CCAR1 30
RAB39A 12
HS3ST2 11
TH 20
FAM110A 57
BRIP1 25
KLF15 25
FURIN 10
ASPA 7
ABHD8 3
MED9 72
CCDC28A 6
DAPL1 7
FAM160A1 3
TPX2 25
FKBP5 122
OVOL1 3
MCCD1 25
GOPC 97
RTF2 13
EVA1A 8
KANSL2 17
HTR5A 1
APOO 4
SHCBP1L 2
ASCC3 26
IQCG 2
ACADM 15
C5orf49 4
ENKUR 2
FGD3 1
DRAP1 30
GOLGA2 524
TUBD1 4
WDR53 4
SKA2 12
ZNF835 66
SERPINA4 12
MAB21L4 1
CCDC173 4
ZNF784 10
MXRA8 5
S100A5 1
POLA2 44
ACOX3 9
PLEKHA1 15
SH2B1 9
MARF1 12
PLEKHA5 49
QDPR 11
OGFOD1 3
GPATCH2 7
UTP11 9
TSPAN11 11
NPRL3 14
TEKT3 39
CROT 8
ZNF714 2
CALCOCO1 28
MGST3 386
RAB8A 77
GADD45A 49
ZNF177 16
MLN 2
NOTCH2 31
GALM 3
NFU1 22
UTY 4
KIF3B 11
CITED2 5
TMED1 17
RDH5 3
S100A8 51
SH3BP1 12
GCAT 8
RING1 69
TBL1Y 28
HBG2 9
VASH1 6
DLL4 1
PARP10 4
SFXN4 13
ZFAND4 2
OXTR 14
THAP11 32
GLS 47
TRIM33 68
KRBOX4 16
SLU7 29
TINF2 73
TMEM231 29
NECAP2 20
CDIP1 14
NKAIN4 1
NLGN3 67
MTAP 9
FBXO5 16
RPL17 35
FIZ1 3
RGS7BP 1
CD96 5
ANAPC2 31
MEMO1 29
C20orf173 1
CD4 16
COPA 58
FAM161A 138
IRGQ 13
PIANP 15
RGMA 15
ANKRD55 31
ACAT1 27
MT1G 1
DEFB121 18
PLP2 71
SDC1 38
ABCF3 19
C18orf21 19
GUK1 8
SCAF4 10
LHX9 9
ZMYND8 41
ZC2HC1B 5
WWTR1 40
KRTAP1-5 39
PRRC2A 55
ORAI1 9
TMEM144 7
WDR26 54
STOML3 5
SYNJ1 17
LEMD1 12
BRAP 42
RHOH 18
RSPH10B 2
CLDN9 19
SNED1 1
KRT84 5
NKD2 12
EML6 2
UNG 6
IFT20 64
RIMBP2 6
PHETA1 17
BLOC1S6 40
ZFP69B 2
GPAA1 27
THSD4 19
RAB36 1
S100P 18
MLC1 3
AGAP5 2
BHLHA9 11
U2AF1 65
BASP1 35
IRF4 11
PPP1R3C 26
SLC31A2 5
GLRX 4
ARSK 22
ABRAXAS2 28
DYNC2H1 15
RACK1 83
ACLY 34
ADCY6 16
GDI1 65
ALG9 30
ARHGEF39 5
NEK5 1
MRPL18 34
SESN1 5
C15orf61 1
STAB1 1
GOLGA3 33
MMS22L 19
ZNF74 2
RGPD5 32
ARMCX5 3
ARL2 20
EPGN 4
PTPN1 108
GSK3A 36
CXCR5 8
ABHD17A 17
PKP2 68
HRH3 2
GLI2 6
CCDC127 3
MASP1 18
HTR2B 27
GUCY1A1 2
VARS1 59
CEP162 133
SIGLEC7 7
OPTC 1
NUDT11 3
SLC11A2 5
C11orf54 5
BPIFB2 2
CXCR2 36
SEC22C 10
IPP 11
C20orf141 1
CEND1 5
LRPPRC 84
UGT1A1 9
MT1M 6
TM9SF4 30
MUSK 10
FAM71D 2
TBX19 14
SMG8 23
FLVCR1 18
PHACTR2 16
PALMD 8
GLA 4
MEA1 6
LCE2A 41
SLC25A18 7
ITGB7 8
TMEM203 36
VGLL1 14
IL31RA 24
SPTSSB 3
CARD11 12
PRC1 21
SLC9A3R1 33
TRMT2A 52
PSMG3 28
UCK2 13
DYNLL1 190
SARAF 25
TTC26 17
TRRAP 64
JARID2 18
ARHGAP11A 18
NEBL 39
CHCHD7 3
H2AC1 11
ANKRD37 2
ZDHHC19 1
CHRM1 4
VRK2 40
RPLP1 68
USP43 30
SLC25A22 28
SH3GL3 49
SYTL5 7
CANX 414
MRPS33 32
SRP14 41
RAB12 11
ALDOA 53
ATG16L2 4
ZNF426 36
NTNG2 4
TNNI2 16
MSC 5
NPSR1 16
ELMOD2 1
PYGL 16
THG1L 16
COPRS 24
TCEAL5 4
HSF2 64
AK4 14
MNAT1 37
DCAF11 40
IBSP 2
CCT3 207
DEF6 41
ZNF423 13
ZNF236 1
RHOG 9
HSPE1 49
CYBB 3
FOXM1 50
PADI4 6
ERN1 20
PLPPR2 38
TNP2 12
SCAF11 26
FBXO48 1
MSRB1 6
WDR55 20
EOMES 2
PDE1C 3
KRT83 38
IMPDH2 58
CERS3 5
MNS1 30
MYH13 27
SCGB2A2 78
HDAC4 76
CHTF8 6
TBCD 19
GPR50 18
NEO1 7
SAE1 27
RXRG 20
SAT2 4
CEP290 111
NDUFS3 178
KLHL26 36
NUMB 49
GPAT4 8
AP2A1 83
CYP46A1 1
EPRS1 59
GCGR 1
GSTT2B 4
CTNNAL1 26
ECHS1 47
KRT74 15
SEMG1 26
HAGHL 2
CDCP1 13
ABCC4 10
PLEKHG3 21
TASOR2 54
CPA4 19
CCDC184 12
EMC7 31
TMEM87B 2
AP2S1 38
SYDE2 6
LSM4 29
RUNX3 12
B4GALT7 25
ALG10B 5
SUPT20H 16
RPS6KA5 23
PRRC2B 29
VSNL1 20
C1QTNF9 32
MAST3 42
ZNF197 11
SPATS1 6
ZCRB1 56
CYB561 58
SLAIN1 44
FAM102A 10
PGAP3 1
NMRAL1 2
SYS1 16
NINL 179
TRIL 1
CBFA2T2 31
CYTH1 12
RABL2A 9
PRRC2C 26
DCAF4L2 5
CDRT4 1
SPATA5 10
AKNA 2
EIF2S3 31
IZUMO1R 1
SENP3 32
TREX1 36
ANAPC15 40
MED25 46
CUL7 24
ZNF585A 1
MAPK11 18
ARHGEF38 4
SLFN11 5
CYP4F22 4
C16orf70 34
TPCN2 56
PSAP 20
KIF12 2
LSM10 5
COL14A1 30
FOLR3 1
SYT17 44
HTRA3 1
SPATA13 13
JADE2 25
VPS26C 24
ACVR1 13
FAM219B 9
CD2BP2 67
MSN 32
ATG14 18
ATF6 32
PA2G4 70
PTH2 1
KCNK7 1
NAAA 35
ZNF883 1
DAP3 70
ZNF33B 6
SECISBP2 6
TMEM216 243
NIBAN2 12
COA7 20
RBBP8 27
LCE3B 36
INO80B 82
LZTS3 6
NR1I3 15
PRDM1 11
IFI27L1 1
PCED1B 3
ACSBG1 2
TSPYL2 51
CTSO 3
NARS2 25
PIK3CA 52
NDUFB1 14
ANK1 17
NTS 3
ZDBF2 10
NISCH 23
PPP3CC 28
C9orf50 1
SNCB 9
MOB2 20
AKT1 132
NOL12 65
SV2A 8
ZSCAN5B 3
FAF2 82
SLC4A5 1
PCDHA10 19
CHCHD4 14
FAM3C 69
SPTA1 23
CDX1 59
SRR 7
LIMS3 8
IL27 1
TMEM229B 40
SNRK 4
KIDINS220 48
ZNF280B 1
PAK4 233
RPS12 23
PPP1R16B 50
FIBCD1 1
PID1 12
TATDN3 1
TAF10 25
GPM6B 5
ATP6V0A2 47
RPS4X 62
MDC1 156
CREB3L2 6
SLC25A36 1
SDHC 8
AFTPH 6
ZC3H8 18
SIN3B 31
PDPK1 51
WDR41 22
TNFSF13B 99
AP5S1 2
MRE11 44
ATP6V0A1 45
COL10A1 16
ERRFI1 29
SPDYE4 11
SH2D2A 32
SMARCC1 79
WASF3 26
DNER 4
TRIM3 22
INPP5F 1
SMIM21 1
AVL9 8
STK38L 103
ZNF550 32
ANP32B 39
KCTD21 22
EXPH5 8
MROH6 1
LPO 1
GPX8 155
DSG4 37
DNAH14 9
CCDC158 4
HNRNPUL2 33
TTLL1 17
GOLT1A 26
UBXN11 38
ZNF182 1
IRF6 3
SEC23A 58
SCX 3
CFAP47 4
RTN3 32
ANO9 2
RAB27A 42
SPON2 2
FASTKD2 27
PRTN3 3
MAD2L2 148
PDZD11 14
CIZ1 16
SLC25A28 4
DPCD 9
ZNF618 13
BCOR 73
CCDC28B 18
BPIFB1 11
BRAF 49
UBR1 62
MED17 39
TPM3 88
EME2 2
TMEM62 8
PPP6R2 55
ZNF473 19
MIA 1
VPS52 114
MINDY1 12
CDCA7 3
ISY1 56
TOR1B 13
GALNT13 3
UBE2U 65
RPRD1A 27
GAL 11
OVOL2 1
KRT40 335
PVR 94
RBM20 4
C22orf31 3
EDARADD 13
EXOC4 62
MIGA2 9
FLACC1 21
MIA3 41
BTBD2 37
FIS1 33
BHLHE40 93
PRAMEF17 6
ZNF692 28
EIF1 9
PHC2 79
LHX1 6
USH1C 27
CA3 2
DMAC1 1
LBX1 22
GFER 29
ZBED6 2
ZNF672 3
BANK1 2
CCDC85A 4
SLC19A1 5
FRA10AC1 30
ATP7A 16
RCN3 7
C4orf45 22
TUBB4B 64
MTMR7 8
RAB27B 18
ZMYM2 44
ZC3HAV1L 7
STEAP1B 2
FTSJ1 111
MTHFD1L 34
COL5A1 21
GTF3C5 37
NFE2L1 19
DYNLRB2 7
TNRC6B 66
AIFM2 8
ZNRF2 2
TRPM3 5
HIPK4 25
ZNF366 9
DCAF12L2 11
ATAD3B 92
RABEP1 65
AAMDC 4
PRDM11 1
CCR10 7
VPS35L 13
GGPS1 27
TM4SF1 5
VSTM1 27
CERS5 7
GAL3ST1 8
ZNF581 92
F12 4
CHST8 25
HOXD12 10
CLDN10 11
EBNA1BP2 68
SURF4 35
ARC 10
OSBPL6 24
CALD1 34
PEX19 90
ARMC2 1
AZIN2 10
PCSK5 73
DCTN1 195
UBE2L3 38
SRGAP2B 6
ATF3 41
USP11 109
FRMPD2 2
PEMT 2
GFPT1 12
WSB1 6
PABPC5 4
MAGEB4 41
KRTAP12-4 44
DENND2B 11
MAN2B1 2
KIRREL1 22
ELP2 10
PHEX 1
BNIP2 45
RASL11B 2
PROP1 55
LDHAL6B 10
GPRIN1 13
TMEM106B 6
GATA4 4
H2BC1 81
SPAG5 87
TJP1 54
PTS 16
CTSV 32
HROB 10
MAGEB2 47
CTR9 86
ZNF585B 3
RNF165 12
SSR2 2
FCGR1A 34
SH3BGRL 1
ATF1 24
B3GNT8 1
PARS2 9
CCDC149 3
FBXO38 11
KRTAP26-1 80
CASP8AP2 12
TASOR 20
CNTN5 3
YAE1 26
RAB3IP 50
PLXNA1 10
UBL3 4
OS9 74
AGPAT5 12
TRPM5 1
METTL21C 2
IRF5 11
COL6A1 21
KRTAP4-11 68
OLFM3 10
RNF19A 7
PUDP 3
HMGCR 14
ZBED8 13
FRAT2 12
MT1H 2
RNASEH1 12
BTBD8 20
S100G 1
SHLD2 9
R3HCC1L 8
ZNF773 4
HEBP2 4
NMT2 30
CASP5 4
YARS1 24
VANGL1 31
DNAJA4 25
CHIA 16
TSR1 44
SPRING1 17
C11orf1 32
EFNA4 2
FAM170A 12
BPIFA1 55
CPNE9 1
LRRC8A 21
CCR3 1
TERB1 1
CD37 14
MST1 6
CTH 25
ROR1 24
OTUB1 341
DNAAF5 37
MRPL27 32
NCAPD2 32
LAMA3 14
CCDC51 35
DACH2 5
ALS2 17
MS4A12 3
FITM2 25
POLQ 1
ELMO1 17
PPP1R14A 3
CBX7 29
ATG9A 88
SCRG1 4
CD80 5
TARDBP 50
PPM1F 17
EXOC6 36
FBXO3 12
ESYT1 33
ZDHHC7 8
MMP26 13
NSD3 38
CRYAA 11
CYP21A2 15
KDM6A 17
ITPR2 19
MMGT1 147
TMEM87A 19
HCST 4
RPS5 43
A4GNT 11
SLC25A3 63
GNL1 14
VCAM1 623
RABEPK 7
SNRNP27 106
FOXR1 43
SCRN2 12
TRMO 28
GSTA5 2
RNF182 4
FAIM 9
UQCRC1 45
RINT1 118
GRXCR1 9
FGF9 9
PRRX1 2
SLC6A8 13
RUBCNL 9
SCGB2B2 1
DNAL1 3
GPBP1 29
EBF3 8
SIDT2 16
B9D2 71
CCDC62 2
ATP6V0D1 72
ENOX1 9
CPVL 33
TET2 13
DYDC1 32
NGB 15
POLR3G 7
DCSTAMP 1
CTTN 52
RAB11FIP2 26
MFSD10 5
HTN3 2
STXBP5L 5
CCN6 4
OR2K2 1
ANO2 2
TBC1D25 15
ACOX2 3
MORN2 4
COX6C 34
NMD3 17
CBLB 39
SAMD3 6
GTF3A 4
BEX3 28
NUTM1 20
TPRG1 17
CHAMP1 27
C4BPB 11
CPNE4 23
ABHD17C 1
WWP2 65
UPK1A 81
ARL16 8
SDSL 3
NRG4 5
C5orf34 13
TSSK6 17
RBM38 7
CREB1 89
ADCYAP1 18
SLC15A4 13
PHLDA3 94
ZNF530 1
MTBP 3
CCDC61 15
HTR1A 2
TRAF5 52
TPM1 82
DDX60L 1
GAA 20
COL6A2 26
ETFA 63
MCRIP2 5
ZC3H4 12
ETF1 38
C5 12
CDC42BPB 25
APLP1 45
SUMO2 60
COX8A 7
ZNF827 15
DIAPH3 22
WDR87 1
ZNF701 1
ZNF362 2
ADH7 2
DRAM1 8
SNRNP35 21
TIFA 20
WDR45B 18
ITPR1 20
CHST14 5
LRRC58 4
RWDD3 4
SMCO3 6
ZFYVE21 22
MRPL46 31
DEPTOR 8
DYRK1A 44
JAKMIP1 18
GLOD5 1
MPL 2
FAM98A 31
SCN2B 58
BARHL1 1
TRIM62 25
DNMT3A 17
EDDM3A 1
DYNC1LI2 16
EXOSC10 65
MYH7B 21
NEK9 30
CCDC71L 5
C1QBP 190
KIAA0586 6
FBXL6 10
METTL5 2
GLDN 1
GGT5 4
THRAP3 74
TENT4B 14
RANBP9 56
ACP3 18
RASGEF1B 5
REPIN1 20
LMNA 230
KMT2A 46
BBIP1 7
NUP35 24
LHPP 2
DHRS2 11
UQCRC2 43
ACTA1 27
CDC16 120
NDRG4 43
DCP1A 40
OOEP 9
HACD1 21
SLC7A8 23
LONRF3 12
SSH2 13
NOL9 34
EPM2AIP1 46
RTP5 51
ITLN1 7
PLIN2 7
CCDC14 52
IL21R 1
GRAMD4 12
UGGT2 8
RAB9A 158
ST7L 19
MACROH2A2 98
ZNF394 9
ANKRD54 4
ISOC2 21
RAB5IF 53
HSP90AB1 618
GOSR2 62
C2orf73 3
PC 22
CEP85 33
OLIG2 2
ALPK1 2
TUBB6 40
JAK1 33
LRRFIP2 25
UBALD1 3
EDDM3B 20
CD44 82
AKR7A2 30
DCST1 2
USP36 35
TLCD3A 1
FGD4 5
AASDHPPT 21
SLC6A20 7
FAM153A 2
PANX1 21
LSS 18
CADM1 9
FSD2 91
ZXDB 2
MYLIP 37
NCKAP1L 3
PTCH1 72
ME2 13
DEFB128 1
ETS2 13
ITFG1 14
SUCLG1 17
SFXN3 41
FUZ 2
DHX15 85
OPA3 83
RASSF6 5
ATM 82
LSM7 20
STOX2 3
WDR47 15
SMC4 36
ZNF792 50
MED31 74
DAZ1 6
KLK15 7
CCL7 7
LONRF1 92
SEPHS2 5
HUS1B 14
LEUTX 44
GOLM1 116
VRK1 28
NUTF2 49
GLB1L2 22
OMG 2
IL4 2
THAP1 92
RPS27 57
SBSN 17
GASK1A 3
TKFC 7
REP15 4
CMTM6 26
NCAPG 27
PIK3R4 18
CELA1 16
PTPN13 24
BMP10 53
NECAB3 6
TUBB8 78
ENOSF1 2
KIFC1 15
APOC3 6
COG8 16
PPP1R15A 141
DGAT1 8
FAM193A 3
NDP 4
RSBN1L 18
HEMGN 30
WFIKKN2 6
BCL7A 55
CAND1 583
SPRN 1
RPS19 40
TRIM28 158
MAB21L1 11
DNAH7 1
BPTF 22
TAF1D 53
ZMIZ2 19
TCTEX1D4 3
SLC9A9 2
LRP1B 23
ZNF512 83
KLHL3 6
ZNF514 1
EVI2A 12
TFCP2 106
MGMT 1
MYH14 29
NCF1 49
EEF1G 149
SGMS1 1
SHISA3 6
NCAN 2
CCNK 39
B4GALT6 4
CLTCL1 60
SLC18A2 10
ZNF316 9
MYPOP 37
DOCK2 42
TRNT1 2
CACNB1 10
RARB 15
LGALS13 12
GRN 148
COX2 25
SCLT1 151
FAM124B 62
SNCAIP 16
LPAR6 34
ARMC12 7
ORC6 19
MYORG 12
FGF1 13
GPM6A 25
NFXL1 5
DAPP1 16
DAB2 42
TICAM1 10
DHTKD1 14
RAD17 15
ROPN1 52
GABARAPL1 516
CYB561D2 19
DMWD 57
GCSAM 4
GBP7 4
ABCB9 9
WHRN 13
FOXK1 75
SLC17A9 5
SLMAP 59
LDLRAD4 41
MYSM1 4
HNRNPF 133
ARHGAP29 6
KAT7 37
CPNE8 12
SKP1 161
ULBP2 17
LST1 2
STX11 128
JAM3 4
ISYNA1 11
GFOD1 30
LDHA 46
SLC10A1 84
GLT8D1 7
TTC17 25
RPS18 42
LMAN2 8
NOTCH3 30
ZNF189 22
ARHGEF4 12
ZNF185 11
ZSCAN20 50
PON1 6
ATP6V0E2 1
CLIP1 25
PTMS 7
SLC9A3R2 44
ONECUT3 3
ARID3A 25
GEMIN4 84
TMCO3 38
DNAJC14 4
DTWD2 6
VKORC1L1 17
MRPL23 27
ADORA2A 17
DGKQ 1
CA5A 2
ZDHHC20 3
TIMP3 20
HLA-DPA1 63
SOX6 2
ERAL1 37
PRKAR1B 90
INPP5E 6
SLC51A 7
NOS1AP 39
SRSF2 56
UTP25 19
SORT1 132
GYS2 5
MIPOL1 75
SUSD6 11
OR7D4 2
DCAF12L1 2
C15orf65 1
TOM1 16
POU3F3 2
CENPX 6
SH2D1A 27
NDUFA7 41
BAG4 157
PGK2 19
GTPBP2 31
PGLYRP2 1
MAP4K3 13
CTAGE6 2
ARMCX3 20
MAJIN 8
DDX27 45
UBAP2L 27
ZNF235 4
B4GALNT1 5
SS18L2 15
APC2 7
DIPK1A 23
LRATD2 18
TLE2 7
RABIF 26
ELF5 3
IRAK4 17
STMN3 25
CHST13 1
ARHGAP19 14
MTMR12 5
S100A10 22
GTPBP3 33
KLHL18 17
RND2 1
ZNF668 25
C6 7
PEX12 32
B3GALNT1 20
C3orf20 1
TTC14 11
SLC35F1 10
DOCK9 20
C3orf62 14
LANCL2 16
KRT19 71
THUMPD1 10
NR2E3 1
CAND2 30
RCAN2 16
RAC1 112
INHBA 3
CCDC58 15
MRPL48 28
PRDX1 68
SLC49A3 1
RGS3 40
MMADHC 16
NAT8L 3
AHDC1 18
DOK1 11
FAM161B 73
MILR1 13
FOXC2 39
ITM2A 19
ZNF311 5
SIGLEC11 3
LGALS1 44
MAZ 19
C1orf50 15
LRRC8E 19
BCKDHA 40
NDUFA6 62
CHRNG 18
PRR30 3
MON1B 7
FNBP4 9
SLC39A3 8
SLC40A1 3
DTX3 47
MFGE8 5
IARS2 59
CEP89 89
CPSF7 60
MUC15 4
CEP68 16
BAG5 55
AK1 18
SCARF1 19
SCN11A 1
GATAD2B 76
C19orf12 1
CLHC1 2
CIB3 54
DNAI2 10
BMP7 36
MAGEB3 2
AGBL5 5
APOL2 54
CHAF1A 47
THOC5 47
SLX1B 61
STARD7 26
SEPTIN9 28
ANKS1A 25
INTU 42
RABL6 27
ICAM5 14
IRAK1BP1 8
AARS1 13
ZCCHC10 61
FATE1 92
EIF4EBP1 19
POLR3K 12
SAR1B 10
ND1 27
LETM2 1
TM4SF5 2
HSPD1 405
CARD6 4
VOPP1 16
TYW5 8
CCR2 42
STX7 101
RBM24 25
NCKAP5L 20
VDAC2 52
TMEM132D 1
ITIH6 6
DAXX 117
TP53AIP1 1
TMEM8B 1
TTC9B 6
COMMD5 15
TMEM267 8
PDAP1 15
ARID4A 12
GSTK1 111
PRDM5 46
CRELD1 19
CARM1 66
TFRC 78
NKIRAS1 3
CIRBP 48
SCGB1D2 9
KRTAP19-6 63
CRTC2 23
ZNF432 3
ITGA9 1
MRPS18C 25
DDHD2 13
IWS1 17
CREG1 3
CLDN16 1
RBFOX2 86
ST3GAL6 5
FBLN2 10
WDFY4 1
TLE6 1
TATDN2 3
H1-2 52
FADS3 18
ZAR1 1
EDEM2 41
ELP5 7
PFDN4 48
PRDX3 58
HHAT 1
FTSJ3 67
NOX1 4
CETP 1
LAMP5 1
BLVRA 22
ARMS2 10
SPRR2E 5
ADARB1 21
SLC35A2 5
PLEKHG6 18
SNRPC 107
MTRR 3
CFAP206 57
MOSPD1 1
RSRP1 15
TMEM68 8
ENTPD8 1
GPR87 1
PPP6R1 55
KCNS3 33
PCDH17 11
GALNT7 19
CCNQ 10
EXOSC4 62
COQ10A 6
TMPRSS13 1
HEATR5A 5
FAU 5
AATK 55
DNAL4 15
TAF1B 18
MAFB 13
FAM25A 18
CGGBP1 30
H2AC6 4
KIFC3 225
USP1 32
GDE1 11
MPST 6
EMC1 34
NSD1 13
GUCY2D 2
FCGR2B 13
UBE2Q2 8
ULBP3 22
DNASE1L2 11
DHX32 10
S100A11 15
RDX 20
UQCRFS1 27
ANKRD35 1
XKRX 9
ABRAXAS1 15
ENDOG 20
VILL 4
FAM166B 21
LRRC41 18
SLC16A5 2
DCP1B 33
PTPRJ 39
ANKRD18A 3
MRPL58 225
CST6 36
TOX 7
TLR7 7
RANBP1 31
FGF13 5
MRPL13 47
SULT4A1 11
HYPK 9
CCDC59 62
C11orf16 1
EML3 12
PDHA1 256
HNRNPA2B1 97
NUBP2 19
CPEB3 5
KLHL4 4
CEP72 59
CFAP65 2
BATF2 14
RRN3 8
DRAXIN 2
ATP2C1 9
CORO7-PAM16 1
SLC35C1 1
HLA-B 309
PLA2G15 1
LMBRD1 3
ZNF44 2
TTLL9 5
ZNF343 20
CMTM5 125
NUDT13 1
TRAPPC2L 36
TCP1 159
DHX33 11
ATP2A1 20
SEPTIN8 22
SCGN 21
FAM126B 5
IFNA6 4
GNG10 11
AQP3 28
ZBP1 8
GSDMA 7
MUC1 119
NDUFAF2 25
PPARGC1B 3
BAIAP2 62
SNRPG 42
MAP3K2 15
CLK2 109
BARD1 57
DDT 6
AARS2 33
OCA2 3
CNP 24
LINGO2 11
LDHB 45
SERINC3 11
PRR12 6
DDX23 46
TMPO 85
C16orf96 1
CDC25A 20
ASIC1 10
FXN 12
ERMAP 18
CIART 5
PLD3 18
ZFYVE26 34
REEP4 124
TMEM175 1
ARFGAP3 18
CENPA 44
NEU4 21
ZNF558 16
SDCCAG8 26
PCDH7 28
ABCA5 1
EPM2A 6
MSL1 17
PARVA 23
TBC1D31 26
DNPEP 25
IARS1 44
PCOTH 1
GPATCH4 2
BAHCC1 10
ZNF575 23
RIN2 3
HSD17B13 115
FBLN7 4
THBS3 38
RAB3GAP1 19
MTA2 67
NT5C3A 44
KEL 7
GFPT2 11
FLCN 22
CD63 15
FLT4 16
ACER1 1
EVI2B 31
SOX1 2
PTPRK 78
C18orf54 8
ZIC1 107
CFB 11
SMAD5 35
MGST1 19
SRSF10 49
SPDYC 4
PMP22 57
ZNF335 3
USP42 27
PLEKHS1 5
PIH1D1 82
MRPL38 92
FAM186B 1
WDR74 16
ASB6 43
FDX1 9
CLASP2 31
PGAM5 51
TEX13B 2
ZNF451 22
TMEM50A 11
GNAL 11
NEK4 523
GABRG2 15
LIPC 2
MRPL35 44
ASB8 9
TRPC3 5
GALNT2 15
TLE4 5
IL36RN 25
MVK 13
CTSF 8
FOXRED2 11
RCSD1 3
PADI2 1
PLEKHG1 14
POU4F1 1
GPC1 19
FAM156A 6
ZNF615 1
HLX 20
ACVRL1 7
CREBL2 2
HTR3A 100
VNN2 38
TRIM10 24
CENPT 10
SBK3 11
NUP62CL 9
EGFL8 6
NOXRED1 1
PNOC 1
MZT2A 17
SUV39H1 147
PCDHGA4 3
AGTR1 73
MAF1 12
ZC3H13 20
NEFM 44
TMEM237 152
APOL6 13
MEIKIN 2
SMARCA1 31
TRIML2 58
CASTOR1 10
SOX13 11
CPSF4 30
NCBP1 94
TMEM67 71
LMBRD2 15
FAM13C 19
SBNO1 2
VDAC1 1
THAP12 21
ZNF623 1
PDIA5 18
DIS3 42
ASCC1 25
RAPGEF5 20
TWNK 33
GMNN 57
ARHGEF18 3
PRIMPOL 17
FNDC11 42
CAV2 5
BCAS3 34
CCNA2 70
KCNK4 1
TMCC3 4
IGSF9 5
ILDR2 1
NUDT16L1 31
LIM2 1
OTULIN 14
RAG1 13
LRRC47 20
FAM135A 10
ZNF589 4
LHB 4
STARD3 16
KYNU 8
OXSM 9
SEMA7A 19
SLC41A3 20
CYP4F2 43
SLC16A12 4
ATRX 32
ZC3H14 41
ECEL1 8
HLA-DRB1 24
FTH1 74
NTF4 5
KCTD19 1
GPX7 37
RCOR3 90
GKAP1 23
RPA2 85
LARS2 22
ETV1 7
MTERF3 49
KCNN3 4
SFTPA2 2
GGCX 7
MCM4 50
SP6 11
UQCC2 32
GPR183 30
ALG14 2
KRTAP1-1 181
BAALC 5
VPS50 31
ARHGAP9 13
ATG7 34
CCDC42 3
SLC4A10 3
COL19A1 1
C1QTNF4 4
KIR2DL1 3
TEAD3 13
NLRP2 10
SMARCA5 57
DPPA4 50
PROM1 30
SOS2 16
SPSB3 16
LRCH3 37
TMEM201 22
UBAC2 20
U2AF2 115
C3orf14 1
ELAVL3 7
LAMB2 26
RPS9 82
SPAG16 6
FAM207A 17
ADPRH 5
DUSP29 26
SLC37A1 4
GZF1 8
RXRA 36
EREG 7
VRTN 10
LRP4 24
MMP25 1
TSPY2 1
ADGRB2 4
TTF2 55
CX3CR1 4
HMGN2 17
CITED1 4
CDKN1A 158
KIAA0100 5
POMT1 24
UFL1 29
B3GALT2 5
NFKB1 288
ITPR3 28
KBTBD7 135
SOCS4 12
PIGS 30
YWHAH 461
SOCS2 5
FBN1 20
HTRA2 23
ARG2 5
MALT1 29
ADTRP 4
LMNTD2 19
DIRAS3 17
DTWD1 2
OXCT1 24
SMU1 27
LRRC32 10
ABCC9 1
PNLIPRP1 46
F7 12
RCHY1 23
MYLK2 21
EMD 146
ZNHIT3 7
RFPL3 14
MB 4
EXOSC3 34
PGLYRP3 6
TMEM159 9
VIPR2 93
HIC1 10
PHLPP1 29
FOXP4 15
AUP1 34
SP3 13
ARHGEF10L 4
ADAM22 10
MANSC1 89
CNKSR1 16
PFDN5 139
TENM1 1
DOCK11 13
TOX3 3
FPR2 75
PLPPR3 9
FGD6 11
QSER1 15
NPHS2 1
SUGT1 145
STH 15
KRTAP4-5 57
KIAA1109 5
TROAP 34
CBLL1 10
PKIA 8
TMEM30A 42
ARMC5 13
SEPTIN12 21
BMP8B 7
FAM117A 7
KLF4 13
NETO2 25
MPI 5
RPS24 46
PDE12 19
UNC13A 3
LUC7L 76
VSTM2A 3
VPS39 16
ALKBH2 8
RRH 1
SLC25A42 5
PRKAG2 25
CCL8 12
NIT2 4
VAMP1 28
PTPRD 54
ZFHX3 32
C17orf80 27
HMG20A 101
ARNTL 16
STX3 83
EIF5 10
SERF1A 15
NPM3 14
TEX264 51
PPP1R1A 10
DEFB127 24
PXDC1 3
CREBRF 10
PIWIL1 11
KITLG 4
DNMT1 34
TCTA 7
F3 7
IFRD1 7
SLC4A3 2
ZFAND1 1
ZNF546 2
TTN 97
SUPT6H 42
RTN4 66
RFX5 13
OXA1L 14
MAGEA2 23
NELL2 34
ZSCAN29 10
PFDN1 66
RRAGC 18
WDR83 131
DCBLD1 4
ITGB5 51
HTR4 20
LYPD5 9
PILRA 2
VASN 86
PTPN23 34
CSF1 11
INTS12 30
POP4 38
ATF7IP2 1
ZNF671 1
MAGEA1 65
MYH9 256
DNM2 101
ZNF750 1
CDKN2A 114
B3GAT1 1
TPTE2 25
CCL14 8
SENP5 10
CHRDL2 14
PCM1 246
HECTD4 3
EPHX4 1
NIP7 26
CD164 7
SAA4 1
LLPH 13
SGPP1 23
NOLC1 54
RNASE4 1
SLC23A3 1
R3HDM1 12
COPG1 56
ACVR2B 30
FGFBP2 1
INSIG2 37
HIBCH 12
UBE2J2 8
DHX30 90
SET 86
PELI2 19
WDHD1 14
PLEK 10
LOXL1 9
THEM6 16
PLPP3 4
DZIP3 50
KCNAB3 7
